Gene name	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	Chromosome	Start	End	Strand	Feature	GeneID
Nat9	3.68384432593811	5.27584942752095	3.70641300748726	1.42343808336073	0.154609199112522	0.634993182369323	chr11	115182831	115187859	-	NA	ENSMUSG00000015542.17
Cyp4a14	146.873589800951	5.17285284759336	0.497491169954348	10.3978787162555	2.53513942284301e-25	2.8960949882859e-23	chr4	115486199	115496142	-	NA	ENSMUSG00000028715.2
Grb7	3.37509455518132	5.14958383611424	3.68653589760833	1.39686252328509	0.162454916253333	0.645825577326277	chr11	98446393	98455373	+	NA	ENSMUSG00000019312.10
Ndfip2	3.36603518513758	5.14574554952901	3.8774940083306	1.32708020656477	0.184482152131383	0.681030395776231	chr14	105258572	105309298	+	NA	ENSMUSG00000053253.16
Igfbp1	49.4141142482874	5.12343540396072	0.616501204819748	8.31050347332039	9.52968755463195e-17	7.6631465173951e-15	chr11	7197781	7202546	+	NA	ENSMUSG00000020429.7
Lgals4	3.08472681644829	5.01967622083831	3.66210092042464	1.37070941787597	0.170465557790037	0.657294733144869	chr7	28833853	28841708	+	NA	ENSMUSG00000053964.17
Cyp17a1	3.07820742993087	5.01634922176933	1.41780413021873	3.53811158738508	0.000402999708800927	0.00775505054609698	chr19	46667164	46672974	-	NA	ENSMUSG00000003555.7
Pam16	3.07636016918445	5.01575407187478	1.4552786134869	3.44659367999428	0.000567701702643421	0.0104361408784794	chr16	4616463	4624988	-	NA	ENSMUSG00000014301.12
Nkiras1	2.92499787729998	4.94258645847748	1.42438738766861	3.46997347861058	0.000520509758344212	0.00968958753365037	chr14	18271135	18283942	+	NA	ENSMUSG00000021772.14
GPS1	2.76899584398747	4.86381962467038	1.43013970899485	3.40094019771595	0.000671545171895293	1	NA	NA	NA	NA	NA	NA
Gps1	2.76899584398747	4.86381962467038	1.43013970899485	3.40094019771595	0.000671545171895293	1	chr11	120784271	120789102	+	NA	ENSMUSG00000025156.17
Idh2	2.75923295638283	4.85896788959999	3.62212775501124	1.34146783831066	0.179768605029225	1	chr7	80094845	80115392	-	NA	ENSMUSG00000030541.16
Il6ra	4.93102632338491	4.68417121544928	1.34930414077401	3.47154586864475	0.000517470919495432	0.00967334599378864	chr3	89864058	89913196	-	NA	ENSMUSG00000027947.11
Apoa4	1494.83919677904	4.64690131631698	0.0866240325733743	53.6444815401644	0	0	chr9	46240695	46243459	+	NA	ENSMUSG00000032080.6
Iscu	2.31377601992952	4.60475882850978	3.54006423755348	1.30075572631193	0.193342080880244	1	chr5	113772747	113778288	+	NA	ENSMUSG00000025825.12
Pum1	2.30703652059979	4.60059797567505	1.51118685644546	3.04436076587932	0.00233175335986046	1	chr4	130663320	130781564	+	NA	ENSMUSG00000028580.15
Lipg	2.30633300303889	4.60027432672006	1.47758215811983	3.11337972067403	0.00184957882388625	1	chr18	74939321	74961263	-	NA	ENSMUSG00000053846.4
Gtf3c1	2.30447494751148	4.59944737317214	1.48655247691211	3.09403633212208	0.00197453304493387	1	chr7	125640953	125707780	-	NA	ENSMUSG00000032777.9
Cyp4a14	24.9892448026104	4.53455348018931	0.713256790416479	6.35753285649272	2.05019828538942e-10	1.06536296461716e-08	chr4	115486199	115496142	-	NA	ENSMUSG00000028715.2
Slc8b1	2.1538161731879	4.50132800622477	1.5042770953197	2.99235295161369	0.00276835997766404	1	chr5	120511167	120534024	+	NA	ENSMUSG00000032754.14
Slco1a4	2.1521890252538	4.50055415791517	1.50168607019494	2.99700066960796	0.00272650114444414	1	chr6	141805439	141856199	-	NA	ENSMUSG00000030237.14
DCUN1D3	2.00129934333692	4.39511854943608	1.5452783724786	2.84422446318613	0.00445196726974636	1	NA	NA	NA	NA	NA	NA
Fbxo31	1.9978141398754	4.39330474484209	1.52991914458575	2.87159276383304	0.00408408895537231	1	chr8	121549439	121578806	-	NA	ENSMUSG00000052934.13
Ipo5	1.99479075160049	4.3917129275778	1.54597176941814	2.84074587547656	0.00450081622091238	1	chr14	120911193	120948042	+	NA	ENSMUSG00000030662.9
Plin4	4.01632249933233	4.37554742094439	1.36325514088713	3.2096320708514	0.00132904974216957	0.021813388812758	chr17	56100590	56109803	-	NA	ENSMUSG00000002831.13
Lipg	3.8554390222175	4.31462942076434	1.39323127257913	3.09685082848962	0.00195588270049141	0.0300779653748647	chr18	74939321	74961263	-	NA	ENSMUSG00000053846.4
Slc25a22	1.85042045620103	4.28235710360532	3.59744619554835	1.19038808944648	0.233893892203735	1	chr7	141429743	141437892	-	NA	ENSMUSG00000019082.18
Cyp17a1	1.84971693864013	4.28105535203292	1.60401486280094	2.66896239636915	0.00760859681036794	1	chr19	46667164	46672974	-	NA	ENSMUSG00000003555.7
Il6st	1.84739706792612	4.27970965382347	1.60790004128888	2.66167643754327	0.00777525795511311	1	chr13	112464069	112510086	+	NA	ENSMUSG00000021756.12
Cep85l	1.8422739217495	4.27674863109521	1.58191113354066	2.70353279676521	0.0068606677168658	1	chr10	53278080	53379851	-	NA	ENSMUSG00000038594.8
Mto1	1.69534205326173	4.15539217815716	1.64505215701227	2.52599418227817	0.0115371391768588	1	chr9	78448207	78475348	+	NA	ENSMUSG00000032342.13
PELI1	1.69046060945942	4.15228203481063	1.62113938899141	2.56133560322285	0.0104270576880708	1	NA	NA	NA	NA	NA	NA
Igfbp1	21.3231438324697	4.05958709544547	0.697529348698829	5.81995166657607	5.88646470661361e-09	2.68132192996824e-07	chr11	7197781	7202546	+	NA	ENSMUSG00000020429.7
Enpp1	1.54096716788334	4.01773610441562	1.70061523052284	2.36251918264922	0.0181512020373244	1	chr10	24637913	24712159	-	NA	ENSMUSG00000037370.13
Ppp4r1	1.53980183513584	4.01688457423939	1.67870814801197	2.39284272194451	0.0167184059410515	1	chr17	65782572	65841926	+	NA	ENSMUSG00000061950.17
Pik3r4	1.53957092754253	4.01671883346533	1.67416394371074	2.39923864598492	0.0164292033508983	1	chr9	105642977	105687657	+	NA	ENSMUSG00000032571.13
Alpl	1.53817468720173	4.01574164321358	1.66703009753721	2.40891970045787	0.015999817864989	1	chr4	137741732	137796384	-	NA	ENSMUSG00000028766.10
Acad10	1.53794377960843	4.01558166714344	1.66709838574912	2.40872506474117	0.0160083524412811	1	chr5	121621025	121660514	-	NA	ENSMUSG00000029456.12
Lacc1	1.53794377960843	4.01558166714344	1.66709838574912	2.40872506474117	0.0160083524412811	1	chr14	77024199	77036904	-	NA	ENSMUSG00000044350.14
Frmd4b	1.53700935445423	4.01492240790268	1.70185169657462	2.35914939943573	0.0183168798855297	1	chr6	97286866	97617541	-	NA	ENSMUSG00000030064.16
Sorbs3	1.53654753926762	4.01461117413088	1.66751181723468	2.40754586122725	0.01606014493463	1	chr14	70180467	70207637	-	NA	ENSMUSG00000022091.5
Xlr3a	1.53631663167432	4.01444633555352	1.67513783398206	2.39648717503477	0.0165530727546981	1	chrX	73086292	73097095	-	NA	ENSMUSG00000057836.12
Garem1	1.53492039133352	4.01346362304044	1.68017921245206	2.38871162867393	0.0169075675294838	1	NA	NA	NA	NA	NA	NA
Pik3c2a	1.53329324339941	4.01226134896587	1.71094539027796	2.34505517929712	0.0190242638754924	1	chr7	116337264	116443449	-	NA	ENSMUSG00000030660.9
RAB30	5.71786535059714	3.96397210412668	1.20688552506637	3.28446403722399	0.00102176537263303	0.0173026950278586	NA	NA	NA	NA	NA	NA
Pdcl	1.38705409769155	3.86591924231897	1.77832259284028	2.17391335963653	0.0297116425398594	1	chr2	37350073	37359332	-	NA	ENSMUSG00000009030.14
Znf106	1.38705409769155	3.86591924231897	1.77832259284028	2.17391335963653	0.0297116425398594	1	NA	NA	NA	NA	NA	NA
Gtpbp8	1.38659228250494	3.86554986966436	1.77853194712173	2.17344978026407	0.0297464816466135	1	chr16	44736767	44746363	-	NA	ENSMUSG00000022668.10
Septin9	1.38565785735074	3.86478619358627	1.76260959111186	2.19265015524416	0.028332594550394	1	NA	NA	NA	NA	NA	NA
Txlna	1.38496513457084	3.86423646609228	1.76291721279229	2.19195571865323	0.0283827041949875	1	chr4	129626077	129641065	-	NA	ENSMUSG00000053841.15
Pim3	1.38403070941664	3.86349037610522	1.75052893882658	2.20704170631706	0.0273111457384633	1	chr15	88862185	88865718	+	NA	ENSMUSG00000035828.10
Trak1	1.38403070941664	3.86349037610522	1.75052893882658	2.20704170631706	0.0273111457384633	1	chr9	121297501	121474918	+	NA	ENSMUSG00000032536.10
Slc16a5	1.38379980182333	3.86330830545029	1.74257556325246	2.21701049120622	0.0266223746246953	1	chr11	115462473	115474398	+	NA	ENSMUSG00000045775.15
Eps15	1.38240356148253	3.86220375712165	1.75124640725649	2.20540281545655	0.0274258406586596	1	chr4	109280267	109387817	+	NA	ENSMUSG00000028552.13
Mt1	15.6411447778509	3.82093129751552	0.73417043773577	5.20441998359335	1.94603450957055e-07	7.33278029601007e-06	chr8	94179088	94180325	+	NA	ENSMUSG00000031765.7
Sds	2.78651122261504	3.81934408233679	1.4255992160263	2.67911488684933	0.00738170618947228	1	chr5	120476525	120483932	+	NA	ENSMUSG00000029597.14
Abhd2	22.4647009519557	3.75287633701254	0.621535931015345	6.03806819483761	1.55970152950739e-09	7.38498151833204e-08	chr7	79273198	79365508	+	NA	ENSMUSG00000039202.12
Acss3	2.62980567174164	3.73071004006158	1.44664430825168	2.57887168171302	0.00991235997306617	1	chr10	106936163	107123668	-	NA	ENSMUSG00000035948.12
Il6ra	2.62980567174164	3.73071004006158	1.44664430825168	2.57887168171302	0.00991235997306617	1	chr3	89864058	89913196	-	NA	ENSMUSG00000027947.11
Saa1	7.28588441996991	3.71126959157359	1.02651099846348	3.61542116658153	0.000299859717674645	0.0061135705045451	chr7	46740496	46742980	-	NA	ENSMUSG00000074115.5
Saa2	7.28588441996991	3.71126959157359	1.02651099846348	3.61542116658153	0.000299859717674645	0.0061135705045451	chr7	46751789	46754313	+	NA	ENSMUSG00000057465.5
Saa3	7.28588441996991	3.71126959157359	1.02651099846348	3.61542116658153	0.000299859717674645	0.0061135705045451	chr7	46711997	46715700	-	NA	ENSMUSG00000040026.8
Ppl	1.23430636024726	3.69745654318333	1.98636006461955	1.86142311710818	0.0626844485442351	1	chr16	5086290	5132481	-	NA	ENSMUSG00000039457.3
RASGEF1B	1.23337193509306	3.69661511511318	2.04207768469609	1.81022257028548	0.0702612788581919	1	NA	NA	NA	NA	NA	NA
Acaca	1.23267921231315	3.69580447634572	1.87894833871386	1.96695374758175	0.0491885432937264	1	chr11	84129671	84401651	+	NA	ENSMUSG00000020532.18
Esyt2	1.23267921231315	3.69580447634572	1.87894833871386	1.96695374758175	0.0491885432937264	1	chr12	116281221	116373096	+	NA	ENSMUSG00000021171.7
HPD	1.23244830471985	3.69559291262624	1.87910522089818	1.96667694364652	0.0492204666142997	1	NA	NA	NA	NA	NA	NA
Nup58	1.23221739712655	3.69539238735665	1.89244926755721	1.95270354175819	0.0508547337833171	1	NA	NA	NA	NA	NA	NA
ANKRD17	1.23105206437905	3.69429906407286	1.85351392810502	1.99313261586861	0.0462469273479759	1	NA	NA	NA	NA	NA	NA
MCC	1.23105206437905	3.69429906407286	1.85351392810502	1.99313261586861	0.0462469273479759	1	NA	NA	NA	NA	NA	NA
Acbd3	1.23082115678574	3.69409232889445	1.86214697922658	1.98378128585142	0.0472802272493082	1	chr1	180726042	180754204	+	NA	ENSMUSG00000026499.5
Tacc2	1.23082115678574	3.69409232889445	1.86214697922658	1.98378128585142	0.0472802272493082	1	chr7	130577437	130764785	+	NA	ENSMUSG00000030852.16
Rnf121	1.22988673163154	3.69323707679955	1.88085177192291	1.96359815905308	0.0495767110688644	1	chr7	102019136	102065469	-	NA	ENSMUSG00000070426.12
Cep350	1.22965582403824	3.69302935841539	1.85444567829421	1.99144650158336	0.0464318212350784	1	chr1	155844963	155973255	-	NA	ENSMUSG00000033671.17
Fyco1	1.22965582403824	3.69302935841539	1.85444567829421	1.99144650158336	0.0464318212350784	1	chr9	123789509	123851899	-	NA	ENSMUSG00000025241.15
Utp18	1.22965582403824	3.69302935841539	1.85444567829421	1.99144650158336	0.0464318212350784	1	chr11	93859242	93885766	-	NA	ENSMUSG00000054079.12
Cstf2t	1.22942491644494	3.69281971765064	1.85460017116432	1.99116757081517	0.0464624677947093	1	chr19	31082840	31086590	+	NA	ENSMUSG00000053536.6
Gpd2	1.22942491644494	3.69281971765064	1.85460017116432	1.99116757081517	0.0464624677947093	1	chr2	57237634	57370719	+	NA	ENSMUSG00000026827.12
Ints12	1.22825958369744	3.69173855225859	1.88196771666804	1.96163755603347	0.0498046965721207	1	chr3	133091839	133110988	+	NA	ENSMUSG00000028016.9
Atrnl1	1.22802867610414	3.69154092825472	1.86402540646258	1.98041341896744	0.0476570933391856	1	chr19	57611033	58133338	+	NA	ENSMUSG00000054843.8
Cyp2b9	1.22802867610414	3.69154092825472	1.86402540646258	1.98041341896744	0.0476570933391856	1	chr7	26173410	26210661	+	NA	ENSMUSG00000040660.6
Gng12	7.13755176829081	3.67942807344855	1.04250446846761	3.52941228046437	0.000416483749344413	0.00797189772348867	chr6	66896396	67021350	+	NA	ENSMUSG00000036402.13
Clcn4	2.48349107111952	3.64074281302299	1.48225264340574	2.45622285055112	0.0140406057730844	1	chr7	7282308	7300851	-	NA	ENSMUSG00000000605.9
Pdk4	2.4804801383791	3.63897883643204	1.45825202474287	2.4954389054071	0.0125801416691905	1	chr6	5483350	5496309	-	NA	ENSMUSG00000019577.6
Cyp2c38	6.81460868653267	3.60801227634703	1.02430478350005	3.52240108068074	0.00042765660484746	0.00813168978886967	chr19	39389555	39463075	-	NA	ENSMUSG00000032808.2
SPAG9	2.32664086234807	3.53994812533379	1.48111167241545	2.39006159445136	0.0168455473792357	1	NA	NA	NA	NA	NA	NA
Cep350	2.32478280682066	3.53909340422132	1.49573562098014	2.36612229767062	0.0179755053952869	1	chr1	155844963	155973255	-	NA	ENSMUSG00000033671.17
Ip6k2	2.32199032613905	3.53778883952172	1.48819056873699	2.37724180883918	0.0174426494053692	1	chr9	108783795	108806337	+	NA	ENSMUSG00000032599.12
Wdr45	2.31051404090506	3.52960544449701	3.92586683647354	0.899063975299661	0.368618585227941	1	chrX	7714332	7728206	+	NA	ENSMUSG00000039382.12
TRIP11	1.08039329005547	3.50536779015994	2.20680087624532	1.58843864341944	0.112187185025758	1	NA	NA	NA	NA	NA	NA
Ppl	1.07993147486886	3.50480133977539	2.15664790341023	1.62511522359926	0.10413800968341	1	chr16	5086290	5132481	-	NA	ENSMUSG00000039457.3
Slc16a5	1.07970056727556	3.50454450102384	2.15693637352983	1.62477880387758	0.104209699005266	1	chr11	115462473	115474398	+	NA	ENSMUSG00000045775.15
Flnb	1.07899704971466	3.50379356263635	2.20855510631444	1.58646417860198	0.112634051826466	1	chr14	7817956	7951588	+	NA	ENSMUSG00000025278.8
Rabgap1	1.07830432693476	3.50290873401137	2.02976330885527	1.72577202412182	0.0843884346869912	1	chr2	37443278	37566454	+	NA	ENSMUSG00000035437.15
Smg6	1.07830432693476	3.50290873401137	2.02976330885527	1.72577202412182	0.0843884346869912	1	chr11	74925822	75164448	+	NA	ENSMUSG00000038290.15
ZC3H4	1.07830432693476	3.50290873401137	2.02976330885527	1.72577202412182	0.0843884346869912	1	NA	NA	NA	NA	NA	NA
MAP3K12	1.07713899418725	3.50165537222131	2.03964194791472	1.71679905671744	0.086015893376447	1	NA	NA	NA	NA	NA	NA
Tgs1	1.07713899418725	3.50165537222131	2.03964194791472	1.71679905671744	0.086015893376447	1	chr4	3574874	3616619	+	NA	ENSMUSG00000028233.6
Kdm3b	1.07690808659395	3.5014002321991	2.01147460930427	1.74071311464884	0.0817338782940195	1	chr18	34777007	34839370	+	NA	ENSMUSG00000038773.10
Rtkn	1.07690808659395	3.5014002321991	2.01147460930427	1.74071311464884	0.0817338782940195	1	chr6	83135462	83152579	+	NA	ENSMUSG00000034930.15
Cep170b	1.07667717900065	3.50115339544037	2.01171770315465	1.74038006920657	0.0817923028558888	1	chr12	112722173	112746591	+	NA	ENSMUSG00000072825.10
Atrn	1.07644627140735	3.50090783279824	2.04038118265042	1.71581068408532	0.0861966980518451	1	chr2	130906494	131030333	+	NA	ENSMUSG00000027312.14
Flywch1	1.07644627140735	3.50090783279824	2.04038118265042	1.71581068408532	0.0861966980518451	1	chr17	23755422	23771591	-	NA	ENSMUSG00000040097.15
Vrk3	1.07574275384645	3.5001238675451	2.16191127611938	1.61899514850943	0.105448306967089	1	chr7	44748412	44777515	+	NA	ENSMUSG00000002205.16
Usp45	1.07551184625315	3.4998978629713	2.0327356931746	1.72176730832397	0.085111678890098	1	chr4	21767155	21837872	+	NA	ENSMUSG00000040455.17
Foxn3	1.07528093865985	3.49965628212953	2.01319107121105	1.7383627079293	0.0821469233600014	1	chr12	99194979	99450111	-	NA	ENSMUSG00000033713.11
Pol	1.07528093865985	3.49965628212953	2.01319107121105	1.7383627079293	0.0821469233600014	1	NA	NA	NA	NA	NA	NA
Nr1d2	1.07505003106654	3.4994000600939	2.03322979398876	1.72110406331831	0.0852319420975247	1	chr14	18204053	18239127	-	NA	ENSMUSG00000021775.10
Camk2b	1.07481912347324	3.49909138431606	2.16308095073296	1.61764236476235	0.105739693522562	1	chr11	5969643	6066362	-	NA	ENSMUSG00000057897.14
Mier3	1.07481912347324	3.49909138431606	2.16308095073296	1.61764236476235	0.105739693522562	1	chr13	111686177	111718596	+	NA	ENSMUSG00000032727.13
Sparc	1.07481912347324	3.49909138431606	2.16308095073296	1.61764236476235	0.105739693522562	1	chr11	55394499	55420080	-	NA	ENSMUSG00000018593.12
Chsy3	1.07388469831904	3.49813238962002	2.04312780498086	1.71214565290143	0.0868698299351037	1	chr18	59175400	59410446	+	NA	ENSMUSG00000058152.7
Map3k5	1.07388469831904	3.49813238962002	2.04312780498086	1.71214565290143	0.0868698299351037	1	chr10	19934471	20142753	+	NA	ENSMUSG00000071369.10
Ncoa5	1.07365379072574	3.49788237342728	2.04337649257914	1.71181492306015	0.0869307810565713	1	chr2	165000356	165034867	-	NA	ENSMUSG00000039804.15
SRRM1	1.07365379072574	3.49788237342728	2.04337649257914	1.71181492306015	0.0869307810565713	1	NA	NA	NA	NA	NA	NA
Tec	1.07365379072574	3.49788237342728	2.04337649257914	1.71181492306015	0.0869307810565713	1	chr5	72755715	72868483	-	NA	ENSMUSG00000029217.16
Kdm2a	1.07225755038493	3.49632243123918	2.07747036326798	1.68297102719639	0.0923807002758501	1	chr19	4314418	4398285	-	NA	ENSMUSG00000054611.16
MGAM	1.07225755038493	3.49632243123918	2.07747036326798	1.68297102719639	0.0923807002758501	1	NA	NA	NA	NA	NA	NA
Slc20a1	2.17985531251185	3.43764909544922	3.92712078506919	0.875361182808297	0.381377413583467	1	chr2	129198763	129211616	+	NA	ENSMUSG00000027397.14
Cry2	2.17590663311023	3.43461916562362	1.5291147343237	2.24614876080093	0.024694480969313	1	chr2	92403645	92434043	-	NA	ENSMUSG00000068742.11
AP1G1	2.17272779215627	3.43302376065245	1.49635006876885	2.29426511369565	0.0217752751638136	1	NA	NA	NA	NA	NA	NA
Ric1	2.17381933074302	3.43302357539329	1.49621546399919	2.29447138998101	0.0217634366005201	1	chr19	29522281	29606829	+	NA	ENSMUSG00000038658.15
Gpat3	2.17249688456297	3.43291323101089	1.49890001026078	2.29028834979701	0.0220046067246083	1	NA	NA	NA	NA	NA	NA
Slc35b4	2.17171791208782	3.43244938305164	1.49894098425455	2.28991629364158	0.0220261695146998	1	chr6	34153379	34177111	-	NA	ENSMUSG00000018999.14
Acp2	2.17219218280891	3.4322195400802	1.49277881456187	2.29921506562079	0.0214927299362096	1	chr2	91202884	91214098	+	NA	ENSMUSG00000002103.15
Ahr	2.16924258869476	3.43129231953135	1.50810328535226	2.27523695018665	0.022891719397209	1	chr12	35497973	35535038	-	NA	ENSMUSG00000019256.17
Acot2	2.16427489519719	3.42843228506926	1.59164496312854	2.15401824181338	0.0312387413839908	1	chr12	83987860	83993873	+	NA	ENSMUSG00000021226.7
Cd36	54.6233461420532	3.42522658950735	0.378438641293134	9.05094304800184	1.4173886452118e-19	1.34222974731438e-17	chr5	17781689	17888801	-	NA	ENSMUSG00000002944.15
Fam234b	4.03507866562165	3.42150702285725	1.23766767819602	2.76447957972395	0.00570136755785008	0.0730770121350793	chr6	135197976	135244955	+	NA	ENSMUSG00000030207.15
Cyp4a14	112.577470971011	3.36107360257093	0.548734963227549	6.12513112487269	9.06089554203285e-10	4.36195753953247e-08	chr4	115486199	115496142	-	NA	ENSMUSG00000028715.2
Enpp4	2.01873926705023	3.31742376304899	1.52187179849794	2.17983128823547	0.0292699697499564	1	chr17	44096307	44105809	-	NA	ENSMUSG00000023961.16
Ifi27l2b	2.01967535295792	3.31742360362145	1.52172935499943	2.18003522947264	0.0292548502386898	1	chr12	103450897	103457223	-	NA	ENSMUSG00000021208.9
Dnmbp	2.01827745186362	3.31718192193871	1.52825627301999	2.17056653422637	0.0299639541132522	1	chr19	43847966	43912392	-	NA	ENSMUSG00000025195.8
Flnb	2.01827745186362	3.31718192193871	1.52825627301999	2.17056653422637	0.0299639541132522	1	chr14	7817956	7951588	+	NA	ENSMUSG00000025278.8
Cacul1	2.01804820502382	3.31655127539575	1.51817142571891	2.18456968640761	0.0289204125877506	1	chr19	60524695	60581023	-	NA	ENSMUSG00000033417.15
PARP4	2.01548497118201	3.31567845576798	1.52216598921233	2.17826339523177	0.0293864327159118	1	NA	NA	NA	NA	NA	NA
Capn10	2.0147939091556	3.31477967241529	1.53425436193987	2.16051507145411	0.0307328181487988	1	chr1	92934375	92947941	+	NA	ENSMUSG00000026270.11
ABHD17B	2.010834434973	3.31300212367079	1.56946313545515	2.11091426668649	0.0347796815851724	1	NA	NA	NA	NA	NA	NA
