GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	Chromosome	Start	End	Strand	Feature	Gene name
ENSMUSG00000042978.10	12.4708302679518	1.91257071798673	0.511182221916073	3.74146563786551	0.000182950195047655	0.00201797846302167	chr7	126272618	126295016	+	NA	Sbk1
ENSMUSG00000062545.4	10.6934438993518	2.19331847321342	0.587192246658485	3.73526470367221	0.000187517839325646	0.00205854235639451	chr4	128615442	128618619	-	NA	Tlr12
ENSMUSG00000043013.10	10.562235707757	-2.23766185900586	0.60104232372617	-3.72296886703991	0.000196893808526726	0.00215125865127311	chr9	74861920	74891781	+	NA	Onecut1
ENSMUSG00000035451.6	22.3482537644461	-1.29610718798463	0.351520456132315	-3.68714584136965	0.000226783396541378	0.00244320373478895	chr12	57540630	57546121	-	NA	Foxa1
ENSMUSG00000052040.10	25.2333381244489	1.19281757436656	0.328470920214394	3.63142519157558	0.000281860364008095	0.00299013334172502	chr7	63886350	63938915	-	NA	Klf13
ENSMUSG00000099597.1	24.4936477998778	-1.21002694668155	0.334630213335999	-3.61601223816145	0.000299176237539107	0.00314497687279746	chr12	99190077	99191484	+	NA	Gm28933
ENSMUSG00000046785.8	44.758403080507	-0.800986203284205	0.237204304113579	-3.37677769498092	0.000733402985841673	0.00722776976671808	chr9	111271928	111279093	+	NA	Epm2aip1
ENSMUSG00000041075.8	19.3144970864341	-1.2564496911635	0.374208688960474	-3.35761762949393	0.000786172845745506	0.0076607685446381	chr1	59482423	59486955	+	NA	Fzd7
ENSMUSG00000052117.5	10.013718845218	-1.8654862794406	0.560084342397211	-3.33072385393984	0.000866204855998295	0.00832372477966228	chr4	57908482	57916297	-	NA	D630039A03Rik
ENSMUSG00000000078.6	9.94947820953235	1.90698979726024	0.57270570738671	3.32979010452323	0.000869114734568149	0.00834013558566226	chr13	5861488	5870393	+	NA	Klf6
ENSMUSG00000040170.13	12.0321363018589	1.72679433468794	0.521555498869408	3.31085443146735	0.000930115798784268	0.00885204857608402	chr1	162874316	162898726	-	NA	Fmo2
ENSMUSG00000010307.7	9.94855980040461	1.90630250146051	0.577728438356098	3.29965148830966	0.000968049646272247	0.00916279460550729	chr7	47050600	47054777	+	NA	Tmem86a
ENSMUSG00000042558.16	8.50248157054522	-2.00696202635515	0.620113516167476	-3.23644296411872	0.00121029410299525	0.0110632680982622	chr4	126316046	126321703	-	NA	Adprhl2
ENSMUSG00000064339.1	650.813895744939	-0.228568218183608	0.0714068630777793	-3.20092787068159	0.00136985818709284	0.0122633240026454	chrM	1093	2675	+	NA	mt-Rnr2
ENSMUSG00000021944.15	13.4691880750044	-1.40283158998902	0.457956378355191	-3.06324282462769	0.00218952312742423	0.018280278529566	chr14	63198921	63271692	-	NA	Gata4
ENSMUSG00000045991.18	111.161994953314	0.460640053658645	0.150644505693418	3.05779524807967	0.00222971869481369	0.018571174435315	chr18	64340363	64398488	+	NA	Onecut2
ENSMUSG00000044349.15	19.5963981033638	-1.12545412225081	0.369889166503543	-3.0426793325401	0.00234482054795501	0.0194133233433316	chr2	158375637	158386145	+	NA	Snhg11
ENSMUSG00000039270.9	30.8491218943509	0.887591693443171	0.300836872340736	2.95040859365756	0.00317353932564565	0.0251634466758052	chr4	70427064	70534995	-	NA	Megf9
ENSMUSG00000020027.18	16.2806045853247	-1.20325637042246	0.410884536417137	-2.92845377174499	0.00340652484841548	0.026766103508841	chr10	95385361	95417180	-	NA	Socs2
ENSMUSG00000062761.7	8.31182642124251	-1.80564941574304	0.62272405131245	-2.89959800322063	0.00373641518906629	0.0289645235550189	chr5	31452430	31481754	+	NA	Zfp512
ENSMUSG00000048706.3	36.5616513691048	0.753339703658714	0.26633548912351	2.82853669309298	0.00467613402301144	0.035379517831683	chr4	80910645	80955628	+	NA	Lurap1l
ENSMUSG00000049516.9	15.4889795302988	1.1944281650438	0.424599062430655	2.81307301576738	0.0049070507375703	0.0368055329916354	chr7	46990395	47008411	-	NA	Spty2d1
ENSMUSG00000027519.10	24.8642186396411	0.933271878719271	0.334111610394604	2.79329376676562	0.00521742861200745	0.0384681399682335	chr2	173659759	173707343	+	NA	Rab22a
ENSMUSG00000024298.14	19.2119548100883	1.04237823830927	0.374118604834027	2.78622400714796	0.00533260067465294	0.0389858624665354	chr17	32771235	32788287	-	NA	Zfp871
ENSMUSG00000052534.15	12.2690713619365	1.33034821486036	0.479014307567769	2.77726196032703	0.0054818977481349	0.0399510573283193	chr1	168119363	168432270	-	NA	Pbx1
ENSMUSG00000101111.1	15.5900182009022	-1.18056672746001	0.428859630862146	-2.75280451341781	0.00590871668558605	0.0426140086950062	chr1	24613188	24613971	-	NA	Gm28437
ENSMUSG00000041757.15	35.1289953232859	0.721585462388093	0.269580999159042	2.67669258827246	0.0074352820249491	0.0511765740963263	chr1	133181320	133303435	+	NA	Plekha6
ENSMUSG00000041779.5	17.1376578511925	1.04826148955813	0.396334627258503	2.64488999310783	0.00817174787203249	0.054937584046668	chr1	20996298	21079229	-	NA	Tram2
ENSMUSG00000021908.9	27.4955307715922	0.819476969344596	0.309982840853727	2.64362042456178	0.00820245818849472	0.0550906630317293	chr12	119260933	119264272	+	NA	Gm6768
ENSMUSG00000038576.15	12.0897901462233	-1.2718314186925	0.48274955594586	-2.63455740772372	0.00842470560177375	0.0564195052751991	chr1	182763859	182896591	+	NA	Susd4
ENSMUSG00000022041.10	10.1863158890913	1.40451682552234	0.533614383668296	2.63208202122868	0.00848633725721533	0.0567774425174156	chr14	66135038	66152948	+	NA	Chrna2
ENSMUSG00000079139.4	26.1640568889441	-0.8352946032158	0.33085190436039	-2.52467823883502	0.0115804263639817	0.0724481497865688	chr1	135231994	135233225	+	NA	Gm4204
ENSMUSG00000047648.13	14.7275311951677	-1.05969385078674	0.423549744174896	-2.50193481488484	0.012351666439502	0.0762418698908051	chr10	11281329	11298052	+	NA	Fbxo30
ENSMUSG00000039852.16	20.8860019500045	0.886457639503536	0.354868585941973	2.4979884797368	0.0124900252727794	0.0770273736378167	chr4	150281645	150621966	+	NA	Rere
ENSMUSG00000061536.12	9.39015805296903	1.37245551045607	0.556530573167773	2.46609184944513	0.013659630254214	0.0830591715194887	chr9	121680046	121705490	-	NA	Sec22c
ENSMUSG00000083563.1	34.6910174205216	-0.668060369162185	0.27169568065549	-2.45885531764962	0.0139380775945551	0.0840890281313245	chr2	22588102	22589647	-	NA	Gm13340
ENSMUSG00000041841.7	26.759677026484	-0.742859059940345	0.306436605209184	-2.42418512446724	0.0153427820440776	0.0912935007048114	chr15	5116612	5119140	+	NA	Rpl37
ENSMUSG00000044468.14	11.1723588694003	1.24299158792472	0.514380500977552	2.41648271184947	0.0156712704043014	0.0926668025130368	chr3	100451627	100489324	-	NA	Fam46c
ENSMUSG00000037434.7	36.8192304587495	-0.626152528961459	0.262075437166936	-2.38920722876678	0.016884775418728	0.0984424973572559	chr1	191906766	191913247	+	NA	Slc30a1
ENSMUSG00000031617.16	8.58904144598129	-1.44345727326753	0.605184323797843	-2.38515311204543	0.0170720143297297	0.0992006996814611	chr8	77595981	77610698	-	NA	Tmem184c
ENSMUSG00000051910.13	12.312332294763	1.1417221364306	0.479583191510665	2.38065502845133	0.0172818875014989	0.099751859804825	chr7	115470871	116038796	-	NA	Sox6
ENSMUSG00000029167.13	10.5318509165566	1.23444506377653	0.519558403287085	2.37595053023218	0.0175038093495542	0.100614274455018	chr5	51454249	51567726	-	NA	Ppargc1a
ENSMUSG00000038871.5	14.0423764654408	-1.02817030910423	0.434329469094871	-2.36725891809023	0.0179203909816452	0.102414886845679	chr6	34476206	34505613	+	NA	Bpgm
ENSMUSG00000055296.14	37.1470319947504	0.616716916318571	0.262083631077325	2.35313023474028	0.0186161126877078	0.105521723715128	chr4	56866922	56947437	-	NA	Tmem245
ENSMUSG00000037465.9	10.0872406092389	-1.29020702920685	0.550241008518951	-2.34480347562538	0.0190371109275561	0.107381687492183	chr15	38294412	38300707	-	NA	Klf10
ENSMUSG00000018572.10	10.7323281595484	-1.21432639515908	0.522965815122173	-2.3219995648767	0.0202329590592358	0.111675632420826	chr11	69995776	70000009	+	NA	Phf23
ENSMUSG00000061175.11	15.8795959849212	0.953164525249389	0.411121333778056	2.31845065419046	0.0204248418373046	0.11246631164065	chr3	79455973	79567796	-	NA	Fnip2
ENSMUSG00000038628.8	17.1751708137249	-0.894811679417098	0.389029373568472	-2.30011341099827	0.0214417956860271	0.116677002721299	chr2	181864336	181870830	+	NA	Polr3k
ENSMUSG00000070565.11	14.747856107707	1.01241901817874	0.443115418522089	2.28477497252393	0.0223260258980758	0.120169098278394	chr1	157135181	157412595	-	NA	Rasal2
ENSMUSG00000044066.14	8.56766083272363	-1.3093133715461	0.573817223650784	-2.28176031945484	0.0225034946779572	0.120620469773732	chr11	20227036	20249429	-	NA	Cep68
ENSMUSG00000034487.3	8.57886173719703	-1.310599741943	0.57486759556792	-2.27982887198267	0.0226178399179498	0.120988876908817	chr9	53384022	53401867	+	NA	Kdelc2
ENSMUSG00000042680.7	19.7784004049767	0.819778150099839	0.361042341707023	2.27058728409497	0.0231719739596929	0.123382314146086	chr18	21127200	21300138	-	NA	Garem
ENSMUSG00000003382.18	12.0475719092628	-1.09038426440546	0.48088643307169	-2.26744651006385	0.0233629630042531	0.123889815667051	chr3	87525406	87540156	+	NA	Etv3
ENSMUSG00000061024.8	11.2123389797687	-1.11568856269399	0.493707950430612	-2.25981485961667	0.0238327437689326	0.12574264355046	chr1	9545407	9547455	+	NA	Rrs1
ENSMUSG00000052146.15	10.3869508016067	-1.14536070908865	0.50799709584491	-2.25465995466699	0.0241546810615689	0.126862359731389	chr17	27630421	27636629	-	NA	Rps10
ENSMUSG00000038323.3	35.9613846562689	-0.59568645096135	0.264642184319235	-2.25091268987857	0.024391067847705	0.127620836144327	chr1	57377619	57385423	+	NA	1700066M21Rik
ENSMUSG00000026511.7	26.5654830728873	-0.690798073603814	0.30768105253514	-2.24517586608593	0.0247568447745963	0.128951192977589	chr1	182124736	182132407	+	NA	Srp9
ENSMUSG00000031983.6	8.93006694488926	1.27020730077532	0.566030598598483	2.24406119372418	0.024828464353057	0.129227221066399	chr8	124635765	124663369	-	NA	2310022B05Rik
ENSMUSG00000040524.9	16.5349998066876	0.904283623982899	0.404328698271209	2.23650615909618	0.0253186343130214	0.131047746312925	chr9	65692390	65827564	-	NA	Zfp609
ENSMUSG00000052684.4	15.3911015588802	0.957608961422377	0.432647831668422	2.21336822082188	0.0268722697581445	0.137391162551221	chr4	95049033	95052222	-	NA	Jun
ENSMUSG00000033565.16	22.7016290163767	0.773827878215182	0.353791212932417	2.18724448185491	0.0287246812346609	0.144589525864448	chr15	77078989	77307053	-	NA	Rbfox2
ENSMUSG00000040520.7	16.7106635003641	0.861358495211934	0.394456015674512	2.18366170367317	0.0289871158229641	0.145522872344229	chr4	26324505	26346891	-	NA	Manea
ENSMUSG00000042246.5	10.229432109776	1.17311686568533	0.539264948378525	2.17539980896717	0.0296001688144747	0.147533025312374	chr7	118535840	118584736	-	NA	Tmc7
ENSMUSG00000071267.11	17.3410307320385	-0.859194790898696	0.396325801394751	-2.167900217132	0.0301662793447814	0.149602320295992	chr17	21926959	21962464	-	NA	Zfp942
ENSMUSG00000049521.1	9.05734109404458	-1.18083788606556	0.54857967615644	-2.15253670048253	0.0313551079558458	0.15405690161959	chr15	78842646	78850902	+	NA	Cdc42ep1
ENSMUSG00000003847.16	37.9108226347233	-0.54767644322206	0.254429898046447	-2.15256323029332	0.031353020925837	0.15405690161959	chr8	107293469	107379517	+	NA	Nfat5
ENSMUSG00000029050.15	21.9099700673757	0.740312986156717	0.344200707265385	2.15081773665829	0.0314905885791009	0.154513227412873	chr4	155154074	155222592	-	NA	Ski
ENSMUSG00000068284.14	47.5911613900867	0.498958182836949	0.233322056839709	2.1384955610079	0.0324765440235806	0.158010001707996	chr16	44173245	44227465	+	NA	Usf3
ENSMUSG00000069135.11	15.3331011410595	-0.883568695640966	0.413957121193945	-2.13444497123894	0.0328063736562876	0.158945963985561	chr17	8165500	8196804	+	NA	Fgfr1op
ENSMUSG00000038418.7	9.10487839745401	1.17735589643555	0.552105524442532	2.13248345526762	0.0329671231719525	0.159570646152156	chr18	34859822	34864984	+	NA	Egr1
ENSMUSG00000056268.15	19.8033165402671	0.767378324727189	0.363127523893608	2.11324747983582	0.0345795913870698	0.165735022125587	chr1	138963434	139178960	+	NA	Dennd1b
ENSMUSG00000037461.10	18.1450599385648	-0.799001930544302	0.377979606266884	-2.11387576815492	0.0345258793836923	0.165735022125587	chr1	191575635	191623688	+	NA	Ints7
ENSMUSG00000038910.6	12.0220409673356	0.996290284540258	0.471787798923041	2.11173389141158	0.0347092803615563	0.165735022125587	chr17	50509546	50688493	+	NA	Plcl2
ENSMUSG00000032228.16	18.180799776579	0.800491698490633	0.378837512072957	2.11302121088915	0.0345989524618386	0.165735022125587	chr9	71842687	72111871	-	NA	Tcf12
ENSMUSG00000054814.14	10.8776351993351	1.08373255542904	0.517819780486133	2.09287593149034	0.0363602313009035	0.171973051200959	chr5	73998452	74068431	-	NA	Usp46
ENSMUSG00000073678.4	13.6406952799099	0.922849528730509	0.444352336326114	2.07684185113234	0.0378161581059528	0.176560232125909	chr1	54472993	54557684	-	NA	Pgap1
ENSMUSG00000051098.5	8.54709847966225	-1.17964928621382	0.568250645325047	-2.07593127419863	0.0379003077402398	0.176715278966253	chr13	81711416	81753275	+	NA	Mblac2
ENSMUSG00000045038.14	11.5373053027368	1.0038973675345	0.484669144945372	2.07130447234814	0.0383303516038786	0.178212948252254	chr17	86167784	86657919	+	NA	Prkce
ENSMUSG00000085438.1	69.9448389641587	0.382239486387916	0.185317515222303	2.06261931544565	0.0391488111254937	0.180614301369111	chr2	119594296	119607502	+	NA	1700020I14Rik
ENSMUSG00000027016.17	11.6880231702075	1.03265993235753	0.50102388188411	2.06109922040881	0.0392935751900413	0.180827516853881	chr2	77410633	77819639	-	NA	Zfp385b
ENSMUSG00000033931.8	10.363254072903	-1.04236715286074	0.508890523557552	-2.04831315304077	0.0405293250103692	0.185360881293303	chr8	126947174	126971079	-	NA	Rbm34
ENSMUSG00000022426.5	24.6887122784906	0.652949269126333	0.320175247820926	2.03934961734309	0.0414151469465796	0.187802803604816	chr15	79674249	79687872	-	NA	Josd1
ENSMUSG00000091387.1	8.2158432936573	-1.22395735582502	0.602114762018072	-2.0327642387022	0.0420763477209894	0.190427723736611	chr13	96924688	96950912	+	NA	Gcnt4
ENSMUSG00000037098.17	11.5357761307446	1.004962135831	0.497432520406872	2.02029842160097	0.04335244244055	0.194330096578654	chr17	25989035	26069409	-	NA	Rab11fip3
ENSMUSG00000047735.14	12.675265608732	0.930550776850441	0.46142208461957	2.01670186119864	0.043726635594247	0.194671173972535	chr6	3372256	3399572	-	NA	Samd9l
ENSMUSG00000040236.4	8.87709588392504	-1.1399769515611	0.56578786412205	-2.01484871601132	0.0439205028457816	0.195226889515742	chr8	3676298	3681255	+	NA	Trappc5
ENSMUSG00000097392.2	11.0212022418948	-0.987285196720774	0.49037804597621	-2.01331443122694	0.0440815611226271	0.195798893129825	chr5	104525734	104554207	+	NA	D930016D06Rik
ENSMUSG00000032194.8	22.9024347960078	-0.686610088751923	0.342373192768981	-2.00544348463409	0.0449156568717609	0.198936096157988	chr9	21766772	21798546	-	NA	Kank2
ENSMUSG00000022285.16	57.1251099167805	-0.41452675528558	0.207372306565144	-1.99894943616958	0.0456138250501182	0.20144412361408	chr15	36770769	36794547	-	NA	Ywhaz
ENSMUSG00000044469.7	15.9260198049034	0.819338120618107	0.410012003076627	1.99832715742466	0.0456812031009978	0.201613350581885	chr17	56162476	56173955	+	NA	Tnfaip8l1
ENSMUSG00000068747.14	13.1695863504357	-0.888576453178745	0.44582682981067	-1.99309775402279	0.0462507439006188	0.20360892207011	chr3	108284081	108361511	+	NA	Sort1
ENSMUSG00000042042.14	10.0939413303091	1.03064359377925	0.517659477736793	1.99096826795334	0.0464843759402235	0.204119367261564	chr6	118107451	118139140	-	NA	Csgalnact2
ENSMUSG00000053560.4	8.7029601665557	-1.09771097088762	0.55262217952645	-1.98636792288768	0.0469924856812832	0.205699599783434	chr8	84661330	84662852	-	NA	Ier2
ENSMUSG00000024213.13	15.4354950795364	0.819745185630512	0.415880450033687	1.9711077680235	0.0487115504067491	0.211754847570191	chr17	27579381	27623465	-	NA	Nudt3
ENSMUSG00000040274.11	21.2694770542505	0.722900497894623	0.371095071502346	1.94801966775798	0.0514126098528457	0.220867298550491	chr5	3341484	3531008	+	NA	Cdk6
ENSMUSG00000038538.17	29.2448276285958	0.586634918587089	0.303570399008532	1.93245099160871	0.0533038654691092	0.227442938883567	chr6	38433949	38524825	+	NA	Ubn2
ENSMUSG00000038582.15	9.12925434841872	1.05400940330718	0.550038200893604	1.91624763806371	0.0553335823272762	0.233802919723899	chr5	122284364	122324281	+	NA	Pptc7
ENSMUSG00000017639.13	10.7484798530171	0.950924445002233	0.496656931325121	1.91465050626614	0.0555370894550169	0.234234849020612	chr11	79591211	79698023	+	NA	Rab11fip4
ENSMUSG00000041439.15	9.69243990417249	-0.997902884481634	0.525724063597789	-1.89814953048276	0.0576763870238225	0.240769418273935	chr1	52656285	52727462	-	NA	Mfsd6
ENSMUSG00000041688.16	9.12208990479052	1.05438584536436	0.555329992273927	1.89866540621538	0.0576084827397452	0.240769418273935	chrX	145446424	145505181	-	NA	Amot
ENSMUSG00000041935.9	36.5719794571815	-0.508558367487951	0.268406671448378	-1.89473072611669	0.0581280848816229	0.242217809554774	chr15	3982035	3995752	-	NA	AW549877
ENSMUSG00000031012.17	17.6095273215136	-0.730864688111006	0.387033688216826	-1.88837486338284	0.0589756434380984	0.244136643301627	chrX	13517079	13851367	-	NA	Cask
ENSMUSG00000007880.16	24.2003259138742	-0.618219886757569	0.327627852543997	-1.88695766235121	0.0591660203783327	0.244505514792268	chr4	133679007	133756769	-	NA	Arid1a
ENSMUSG00000039286.12	22.9221383163113	0.654144649678186	0.346972046731449	1.8852949562951	0.0593900267335531	0.244975032982991	chr3	27416161	27711307	-	NA	Fndc3b
ENSMUSG00000055980.2	9.12942117921453	1.05426543634243	0.560139976269464	1.88214639377078	0.0598161417047948	0.246001417396483	chr1	82233100	82291416	-	NA	Irs1
ENSMUSG00000022637.10	8.64019978968062	1.06790808292009	0.56814883751683	1.87962733073172	0.0601588857434212	0.246374792800574	chr16	52031548	52208047	+	NA	Cblb
ENSMUSG00000034377.10	17.5590053083336	0.72174707088904	0.384330904632113	1.87793139242837	0.0603905512255415	0.24690020294803	chr17	6106436	6251128	+	NA	Tulp4
ENSMUSG00000073600.3	10.7550036543441	0.950133893250199	0.506048137822262	1.87755634738431	0.0604418821700915	0.246957765298069	chr18	35650350	35655238	-	NA	Prob1
ENSMUSG00000070348.5	9.45739537938051	1.00727195364021	0.537525338255894	1.87390599466158	0.0609433830745361	0.248428432297962	chr7	144929930	144939925	-	NA	Ccnd1
ENSMUSG00000060681.15	8.16118940977946	1.08230956646464	0.580264299458408	1.86520102559268	0.0621532318610471	0.25192553509663	chrX	56609756	56664230	+	NA	Slc9a6
ENSMUSG00000027340.15	16.1003758053232	0.775874289260912	0.420190535853818	1.84648206719923	0.0648222408446072	0.260264298020766	chr2	132052495	132145108	-	NA	Slc23a2
ENSMUSG00000052928.8	19.8497265999329	0.663814080409574	0.360792797561727	1.8398761973512	0.0657864153043214	0.261862392071935	chr18	75431223	75697696	-	NA	Ctif
ENSMUSG00000036442.7	9.19026270664264	-0.988336934808785	0.540867672349431	-1.82731744812114	0.0676520533094012	0.26684346023737	chr8	105855102	105856950	+	NA	Thap11
ENSMUSG00000050052.12	11.0724488048406	0.914690760919246	0.500443630061718	1.82775982343194	0.0675856053832814	0.26684346023737	chr8	13952007	13975032	-	NA	Tdrp
ENSMUSG00000036840.5	9.19501216586005	-0.988611281745569	0.541947708768891	-1.82418204883887	0.0681245545340673	0.267789325414934	chr8	86724006	86745934	-	NA	Siah1a
ENSMUSG00000036905.8	16.4298344094667	0.755413939895882	0.414372324110457	1.82303183861892	0.0682985688615279	0.268321331121903	chr4	136880128	136886187	-	NA	C1qb
ENSMUSG00000049305.6	9.51631574969812	-0.957807415223976	0.525698085747057	-1.82197242332138	0.0684591700458828	0.268648032680054	chr9	108460526	108465938	+	NA	Ccdc71
ENSMUSG00000028995.14	10.2611825938109	0.957082044240478	0.52640223459641	1.81815725948479	0.069040100427532	0.26985927705139	chr5	23915275	24030690	-	NA	Fam126a
ENSMUSG00000074781.4	16.6173507683861	-0.705929547424613	0.391145159184884	-1.80477638760944	0.0711096807747959	0.276039888706757	chr10	95515161	95545658	+	NA	Ube2n
ENSMUSG00000044030.4	9.18154268236815	-0.986776868231715	0.546814402343142	-1.80459194930364	0.0711385588076797	0.276039888706757	chr7	19004043	19006777	+	NA	Irf2bp1
ENSMUSG00000035673.9	8.15776022473307	1.08212599523566	0.603020434948737	1.79450965924173	0.0727318582784343	0.279564339465805	chr10	80057415	80102698	-	NA	Sbno2
ENSMUSG00000040928.15	14.6500542474345	-0.78018733620758	0.439283737133661	-1.77604420618511	0.0757256312084384	0.288197712190974	chr4	129148004	129189727	-	NA	S100pbp
ENSMUSG00000022401.11	16.9310922744116	0.697836469007316	0.393027174994991	1.77554254108818	0.0758083478141514	0.28835434053431	chr15	81400137	81456807	+	NA	Xpnpep3
ENSMUSG00000037795.14	28.1561665877914	0.529771428832489	0.299016408701711	1.77171356960872	0.0764421159819761	0.290128774990673	chr5	65763520	65830108	+	NA	N4bp2
ENSMUSG00000037573.5	89.8946470719908	-0.286207993539822	0.162015819230466	-1.76654350728983	0.077304709136216	0.292283417976603	chr11	94211453	94215495	+	NA	Tob1
ENSMUSG00000005802.12	15.7785179263755	-0.702181379266846	0.398974589372107	-1.75996516563101	0.0784137130181225	0.294869561474111	chr2	122681232	122702663	-	NA	Slc30a4
ENSMUSG00000002107.18	15.4654826107552	0.751186176656846	0.42992682753186	1.74724192246686	0.0805953825854916	0.30023485381357	chr2	6539693	7509563	-	NA	Celf2
ENSMUSG00000037808.12	10.8223557999905	-0.858018103186901	0.496154378776479	-1.72933695617638	0.0837488060753549	0.307433447910483	chr9	13827715	13846541	+	NA	Fam76b
ENSMUSG00000033444.13	15.1548925271678	0.705597187788295	0.410186473365323	1.72018638742354	0.085398566633364	0.311247596971399	chr10	75212072	75312399	+	NA	Specc1l
ENSMUSG00000046805.9	32.0348809569224	0.502582975579486	0.292183932419374	1.72009107899241	0.0854158870904503	0.311247596971399	chr19	12460778	12465284	+	NA	Mpeg1
ENSMUSG00000035476.9	11.5793281973881	0.81939408894459	0.47741759403977	1.71630475955256	0.0861062776534382	0.313434078887489	chrX	85574021	85634469	+	NA	Tab3
ENSMUSG00000039684.8	15.9625457472012	0.690435401038411	0.40270407950631	1.71449815428948	0.0864372757584423	0.314156602386126	chr10	31248139	31251045	+	NA	Gm5422
ENSMUSG00000079297.4	13.6835878678594	0.768181427476373	0.448621886768917	1.71231375492846	0.0868388631720747	0.314944083997833	chrX	33505660	33507010	+	NA	Gm2223
ENSMUSG00000037503.12	42.6606237703666	0.408944746805058	0.239097102654264	1.71037098427911	0.0871972930350377	0.31525524704382	chr1	34813218	34843065	-	NA	Fam168b
ENSMUSG00000031529.5	32.3928008241328	-0.475667612225919	0.280321200661357	-1.69686634868745	0.0897219313883401	0.321202662524409	chr8	34826459	34965690	-	NA	Tnks
ENSMUSG00000040557.14	8.18529748129507	-0.965051639702471	0.569731008756717	-1.69387241499885	0.0902895297697043	0.32246449371865	chr5	134932367	134942637	+	NA	Wbscr27
ENSMUSG00000040430.18	17.4302160155121	0.642757656150033	0.380772824717861	1.68803447731937	0.0914046108349924	0.325038505308651	chr11	107207891	107470699	-	NA	Pitpnc1
ENSMUSG00000069206.13	20.1924298382257	0.599551804425813	0.356084928101949	1.68373260733506	0.0922333566534849	0.326320769230942	chr13	67424548	67451624	-	NA	Zfp874a
ENSMUSG00000006575.14	9.33779544720569	-0.917359364118451	0.546845100950007	-1.6775488388298	0.0934352075839031	0.328469623219797	chr11	102393402	102402555	+	NA	Rundc3a
ENSMUSG00000020922.11	18.4139368766233	-0.626164539318056	0.373634917437369	-1.675872650267	0.0937631398828124	0.329214911187729	chr11	102162496	102185296	-	NA	Lsm12
ENSMUSG00000054051.6	13.1269301809401	-0.735032166398522	0.438663478769048	-1.67561741967014	0.0938131545036322	0.329223907914112	chr14	32513520	32580989	+	NA	Ercc6
ENSMUSG00000032058.14	16.7738643659304	0.676812889561937	0.404914753213988	1.67149476325516	0.0946239922131261	0.330731112329808	chr9	50845300	50894229	+	NA	Ppp2r1b
